username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
LuckyLuke607,disabled,disabled,78,80,4165,16779,3134,1031,16451,328,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flippnswithez,disabled,disabled,86,38,2312,4144,1645,667,4021,123,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myway42,disabled,disabled,222,41,8062,40845,5644,2418,35697,5148,0,0,1,0,0.0,0.0,16,0,0.072072072072072,0.0,2023-12-24 20:07:35+00:00,0,0,0,7,7,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
laidygenifer12368,disabled,disabled,162,160,16756,3776,7640,9116,2609,1167,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sealionryan,disabled,disabled,4050,1520,152324,371069,100907,51417,239637,131432,0,0,0,0,0.0,0.0,13,36,0.0032098765432098,0.0236842105263157,2024-10-21 15:02:31+00:00,1,0,1,17,8,9,24,3,21,5,3,2,0,0,0,1,0,1,0,0,0,6,2,4
Jordan-Townsend,disabled,disabled,10,131,7053,32695,7050,3,30188,2507,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rahulwde,disabled,disabled,38,183,40451,1201505,40427,24,1191013,10492,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sjpbailey,disabled,disabled,944,22,21318,9629,17862,3456,9062,567,1,1,1,1,1.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blburks,disabled,disabled,7174,7656,3623,72307,3108,515,51592,20715,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GG-Santos,disabled,disabled,445,205,41696,606394,35192,6504,475722,130672,0,0,0,0,0.0,0.0,0,10,0.0,0.048780487804878,2025-12-12 12:00:27+00:00,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TheCoolCateth,disabled,disabled,4525,2748,56094,70330,31643,24451,45908,24422,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jjar7266,disabled,disabled,31,109,522,493694,175,347,302956,190738,0,1,0,1,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iiTzSnake,disabled,disabled,113,56,1159,173296,784,375,18853,154443,0,0,0,0,0.0,0.0,0,2,0.0,0.0357142857142857,2025-06-11 12:48:07+00:00,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
migraineman1,disabled,disabled,28,44,19503,4342,19051,452,3806,536,1,0,2,0,0.5,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runderw1,disabled,disabled,1373,533,72304,26955,43549,28755,20172,6783,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Bolt,disabled,disabled,3602,4652,26304,59801,19810,6494,50276,9525,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanwalker,disabled,disabled,148,6,9535,1304,5395,4140,1202,102,0,0,0,0,0.0,0.0,4,0,0.027027027027027,0.0,2024-02-23 13:05:59+00:00,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
justinhendrix0035,disabled,disabled,138,60,5852,7569,4521,1331,5424,2145,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
