username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
Supachan,deaf,non-disabled,24,23,4613,11190,4053,560,6056,5134,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praserx,deaf,non-disabled,21,168,9551,783262,7425,2126,648688,134574,2,6,2,6,1,1,0,10,0.0,0.0595238095238095,2025-06-26 20:20:32+00:00,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huangsheng97,deaf,non-disabled,156,119,25950,122954,22861,3089,68674,54280,0,0,0,0,0,0,3,2,0.0192307692307692,0.0168067226890756,2024-09-15 04:07:55+00:00,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
okakee,deaf,non-disabled,10,8,881,604,779,102,440,164,0,1,0,1,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anriaz,deaf,non-disabled,813,642,25707,21659,21573,4134,19738,1921,0,0,0,0,0,0,6,7,0.007380073800738,0.0109034267912772,2024-10-24 20:12:45+00:00,0,0,0,1,1,0,6,2,4,5,2,3,0,0,0,1,1,0,0,0,0,1,0,1
ephemer4l,deaf,non-disabled,93,88,63736,214855,51208,12528,123747,91108,0,2,0,3,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LittleB0xes,deaf,non-disabled,13,92,2072,11683,1067,1005,8732,2951,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suprelory,deaf,non-disabled,57,767,16893,270959,16677,216,135545,135414,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yaptx,deaf,non-disabled,433,223,275845,39629,97637,178208,28460,11169,0,2,0,3,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praneethkvs,deaf,non-disabled,43,130,144717,37450,143140,1577,36260,1190,0,0,0,0,0,0,0,5,0.0,0.0384615384615384,2025-07-06 16:59:11+00:00,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2
zmeiresearch,deaf,non-disabled,16,8,33160,279,33013,147,257,22,1,0,1,0,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laughingman7743,deaf,non-disabled,58,13,24051,8298,20333,3718,2012,6286,18,30,18,35,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rstandow,dyslexia,non-disabled,161,43,16671,4511,9127,7544,3138,1373,0,0,0,0,0,0,1,1,0.0062111801242236,0.0232558139534883,2024-11-14 01:05:34+00:00,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orelTahary,adhd,non-disabled,71,8,228832,3953,155841,72991,3784,169,0,0,0,1,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codetrooper108,adhd,non-disabled,81,7,1591,5093,1235,356,4973,120,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AzyMyt,autism,non-disabled,8,57,170,2400,100,70,1662,738,0,0,0,0,0,0,0,1,0.0,0.0175438596491228,2025-12-09 22:35:34+00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saxopwned,adhd,non-disabled,88,133,33458,104884,29183,4275,57610,47274,0,3,0,3,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aichangex,adhd,non-disabled,12,10,345,1970,217,128,1326,644,0,4,0,7,0,0,0,6,0.0,0.6,2025-08-16 13:49:28+00:00,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
sibottle,adhd,non-disabled,16,39,414809,64015,401024,13785,55787,8228,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freezeoncrack,autism,non-disabled,47,383,906,888,570,336,515,373,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
