username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
upyesp,visually impaired,visual,132,13,2560581,1778,958905,1601676,1768,10,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shadyar,visually impaired,visual,220,99,7613,214089,6051,1562,211565,2524,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starkrush123,visually impaired,visual,197,84,9106,58074,6124,2982,44001,14073,0,1,0,1,0.0,1.0,0,1,0.0,0.0119047619047619,2025-07-21 08:10:56+00:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anastantz,visually impaired,visual,16771,18,19850,545,19330,520,408,137,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hkatic,visually impaired,visual,506,209,14621,12544,8919,5702,7491,5053,0,1,0,1,0.0,1.0,1,0,0.0019762845849802,0.0,2024-10-02 09:06:50+00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akhettat,blind,visual,38,12,4316957,3649,2316165,2000792,2482,1167,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brlat,blind,visual,532,338,92327,104261,65287,27040,69879,34382,0,0,0,1,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShotgunSpoon,blind,visual,1082,864,41498,13096,28364,13134,9144,3952,0,0,0,0,0.0,0.0,0,17,0.0,0.0196759259259259,2025-11-19 13:49:02+00:00,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angelobeck,blind,visual,14,38,8145,31300,8132,13,27481,3819,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns-studios,blind,visual,650,176,349508,142204,59701,289807,133030,9174,1,1,1,1,1.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
