username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
amma1411,deaf,physical,1443,725,5225,5791,4074,1151,2882,2909,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeafProgrammer,deaf,physical,64,30,3422,2202,3077,345,1984,218,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohncThompsondev,deaf,physical,46,6,17347,48,17222,125,23,25,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
djinnet,deaf,physical,74,170,30621,118547,26432,4189,101899,16648,2,9,2,9,1.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loucurnow,deaf,physical,567,163,13844,100885,7208,6636,76268,24617,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orenex007,deaf,physical,7,39,5070,5135,4015,1055,3310,1825,0,3,0,11,0.0,0.2727272727272727,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360magicians,deaf,physical,31,444,522,204657,175,347,200608,4049,0,0,0,1,0.0,0.0,0,4,0.0,0.009009009009009,2025-08-14 18:03:23+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
danvitorlima,deaf,physical,61,7,644854,418,510472,134382,297,121,0,0,0,1,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NacAbarca,deaf,physical,10,53,63724,1583117,63720,4,1545093,38024,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MatheusForstner,deaf,physical,49,209,89996,40296,89855,141,39387,909,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf-Wolf,deaf,physical,31,9,5081,1410,3586,1495,1328,82,4,3,4,3,1.0,1.0,0,2,0.0,0.2222222222222222,2025-11-14 09:37:11+00:00,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HenryCecen,deaf,physical,13,5,4184,624,4175,9,624,0,1,4,1,5,1.0,0.8,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
