keyword,variable,p_value,effect_size,median_change,p_value_corrected
deaf,commits,0.83935546875,-0.06783977720678437,-22.0,0.9592633928571429
deaf,net_lines,0.946044921875,-0.02907419023147902,-1220.0,1.0
disabled,commits,0.018654449495186663,-0.2024450785771252,-8.0,0.1492355959614933
disabled,net_lines,1.9567477881443446e-05,-0.3674633359046979,3097.0,0.00031307964610309514
blind,commits,0.267578125,-0.31038783031491474,-54.0,0.7135416666666666
blind,net_lines,0.6697998046875,-0.1258329041817222,5438.5,0.8354116586538461
adhd,commits,0.04988283594779825,-0.2510672307749632,-21.0,0.21872585571999634
adhd,net_lines,0.054681463929999084,-0.24600909975202434,3412.0,0.21872585571999634
autism,commits,0.5265450611862204,-0.13497314780658345,-8.0,0.781028350685531
autism,net_lines,0.46277761459350586,-0.16265994735665185,2019.0,0.781028350685531
asd,commits,0.1003690937068536,-0.41336838699290696,-10.0,0.3211810998619315
asd,net_lines,1.0,-0.003792370522870706,463.0,1.0
audhd,commits,0.67877197265625,-0.11731769201708263,20.0,0.8354116586538461
audhd,net_lines,0.42120361328125,-0.2199706725320299,-356.0,0.781028350685531
non-disabled-overall,commits,0.5369569910963026,-0.09588090350918695,-3.0,0.781028350685531
non-disabled-overall,net_lines,0.40284120317994143,-0.09928093554851981,-3362.0,0.781028350685531
