username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
melkwastaken,deaf,0,0,0,0,0,0,0,0
deafMother,deaf,0,0,0,0,0,0,0,0
sigurdpl,deaf,206,69,5899,314426,3833,2066,313836,590
deafzx,deaf,0,0,0,0,0,0,0,0
kewlguy781,deaf,0,0,0,0,0,0,0,0
deafult2010,deaf,36,14,109813,12993,81569,28244,12987,6
deafhong-master,deaf,0,0,0,0,0,0,0,0
deafmicky,deaf,431,0,24805,0,12120,12685,0,0
ragabdeaf,deaf,0,0,0,0,0,0,0,0
deafboi6,deaf,0,0,0,0,0,0,0,0
Deafpuma,deaf,0,281,0,1131865,0,0,228510,903355
deafchen,deaf,0,0,0,0,0,0,0,0
Brokieboy999,deaf,2,0,418,0,418,0,0,0
deafnizah,deaf,117,3,138289,11887,136208,2081,11829,58
DeafinitelyAbled,deaf,3,0,84515,0,84515,0,0,0
deafirzania,deaf,0,0,0,0,0,0,0,0
DeafeningRoar,deaf,0,160,0,28246,0,0,20919,7327
deafbakeryship-collab,deaf,0,10,0,1632,0,0,1632,0
deafdave,deaf,0,0,0,0,0,0,0,0
DeafHustle,deaf,0,25,0,5084,0,0,3552,1532
deafcat,deaf,0,0,0,0,0,0,0,0
DeAffa,deaf,38,41,12556,25563,11200,1356,25071,492
dreymentov,deaf,0,0,0,0,0,0,0,0
deafOne,deaf,0,7,0,626,0,0,206,420
deafpanda,deaf,4,0,205,0,205,0,0,0
deafzero,deaf,2,57,22,16778,20,2,16361,417
DeafBDoor,deaf,74,0,3729,0,2588,1141,0,0
deafara,deaf,8,0,308887,0,307525,1362,0,0
deafro5,deaf,13,0,1962,0,1842,120,0,0
DEAFDAER,deaf,0,91,0,3582868,0,0,3565297,17571
DeafDenis2,deaf,39,30,51,3928,46,5,2890,1038
DeafChefSteph,deaf,0,0,0,0,0,0,0,0
deafenken,deaf,316,143,70425,1988435,53566,16859,1963045,25390
DeafSilOfTheDa,deaf,0,0,0,0,0,0,0,0
DeafTurnic,deaf,0,0,0,0,0,0,0,0
deafloo,deaf,1005,94,4504,4352,2690,1814,2537,1815
DeafSh0t,deaf,13,4,10968,81,10966,2,81,0
Iwinche,deaf,0,0,0,0,0,0,0,0
DeafitriaPS,deaf,0,0,0,0,0,0,0,0
DeafThing,deaf,130,121,264160,15105,117471,146689,11298,3807
Deafspeaker,deaf,140,0,18752,0,6262,12490,0,0
telesochi,deaf,13,2,3194,23,3193,1,23,0
deafmind,deaf,0,35,0,440738,0,0,437462,3276
deafaultaccount,deaf,0,0,0,0,0,0,0,0
8910667284,deaf,0,0,0,0,0,0,0,0
deafult0user,deaf,42,107,503364,14308,501615,1749,10587,3721
Deaf1t,deaf,12,0,32794,0,32793,1,0,0
DeafIsTheLight,deaf,0,0,0,0,0,0,0,0
amma1411,deaf,1443,725,5225,5791,4074,1151,2882,2909
Deafen0,deaf,1,4,1301,1942057,1301,0,1942055,2
deafborn,deaf,0,24,0,1649,0,0,930,719
Deafviper,deaf,0,0,0,0,0,0,0,0
deafiana,deaf,0,51,0,42677,0,0,41281,1396
DEAFG0AT,deaf,3,5,827,806,803,24,761,45
DeafieGuy,deaf,0,3,0,283,0,0,283,0
HASSANALI22dotcom,deaf,0,29,0,12072,0,0,9990,2082
deafort17101010,deaf,0,74,0,176,0,0,105,71
deafiant,deaf,0,0,0,0,0,0,0,0
HalfDeafDev,deaf,10,1042,1861,26827,1356,505,23584,3243
deafmute,deaf,0,0,0,0,0,0,0,0
deafheadd,deaf,0,48,0,27641,0,0,26641,1000
DeafKnight03,deaf,0,148,0,2034877,0,0,2032602,2275
cjzeledon,deaf,0,0,0,0,0,0,0,0
DeafProgrammer,deaf,64,30,3422,2202,3077,345,1984,218
JohncThompsondev,deaf,46,6,17347,48,17222,125,23,25
Deafee,deaf,0,0,0,0,0,0,0,0
deafebrianoyuvica,deaf,44,18,198,2907,104,94,2556,351
deafsamer,deaf,0,0,0,0,0,0,0,0
deaf-art,deaf,1,6,2,22818,2,0,22802,16
Deafaibrahim,deaf,0,13,0,12642,0,0,12619,23
deafie,deaf,239,0,26344,0,11770,14574,0,0
Fabiana-Arieira,deaf,0,0,0,0,0,0,0,0
DeafeN22,deaf,0,0,0,0,0,0,0,0
deafnote,deaf,0,0,0,0,0,0,0,0
DeaFroggatt,deaf,5,8,161,724,92,69,658,66
HamidMehdinejad,deaf,0,0,0,0,0,0,0,0
JungleGeeky,deaf,0,0,0,0,0,0,0,0
DeafDenis2021,deaf,0,0,0,0,0,0,0,0
palomapaldino,deaf,0,0,0,0,0,0,0,0
deafathiahnurnadia,deaf,0,0,0,0,0,0,0,0
DeaFebrilia,deaf,6,0,1877,0,1877,0,0,0
DeafDeveloperMax,deaf,103,60,100897,432420,96600,4297,427396,5024
deafmedia,deaf,0,0,0,0,0,0,0,0
DeafDGG,deaf,0,4,0,326,0,0,325,1
Deaffy1,deaf,68,0,644,0,344,300,0,0
DeafAelx,deaf,0,28,0,906,0,0,754,152
mar-we-tech,deaf,0,63,0,4789,0,0,3398,1391
deafant,deaf,0,0,0,0,0,0,0,0
Deafcamera,deaf,0,0,0,0,0,0,0,0
deafh,deaf,0,2,0,80,0,0,53,27
Deafulter231,deaf,0,0,0,0,0,0,0,0
deafrl,deaf,7,0,41754,0,41753,1,0,0
5126783,deaf,19,0,462,0,378,84,0,0
deaftmute,deaf,331,38,279,114,140,139,58,56
Deafsnd,deaf,4,0,308458,0,197250,111208,0,0
