username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
AuggieCore,autism,31,111,1643,669,1558,85,331,338
wvycest,adhd,22,169,154,744,82,72,420,324
GTreaper,adhd,61,13,46488,25089,34613,11875,2205,22884
Yuanbaohhs,add,317,230,7548,10684,4938,2610,4914,5770
steveprutz,add,57,6,815,116,551,264,111,5
th3emilis,add,13,110,349,786,67,282,680,106
ihategravel2,add,9,5,2,25325,1,1,25325,0
clowningtimes,add,20,15,109,31,58,51,18,13
ozolog,add,146,74,657,298,341,316,180,118
tszaelria,add,28,20,378,223,298,80,113,110
Kopova,autism,42,18,4927,5892,4319,608,4917,975
The-SilentOrchestra,autism,18,27,81,124,56,25,49,75
RiffyDiffy,audhd,13,5,94,24,61,33,9,15
RedSnt,audhd,99,38,46242,5824,28415,17827,4836,988
toetickleton,audhd,10,8,71,95,54,17,63,32
winnietism,audhd,7,8,42,35,29,13,14,21
paraps,audhd,44,38,308,167,180,128,93,74
Robmak73,disabled,116,16,744010,122,743472,538,71,51
telliestudio,disabled,139,241,6194,4877,4478,1716,2360,2517
Sin4219,disabled,203,106,27322,57843,24776,2546,53003,4840
