username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
amma1411,deaf,1443,725,5225,5791,4074,1151,2882,2909
DeafProgrammer,deaf,64,30,3422,2202,3077,345,1984,218
JohncThompsondev,deaf,46,6,17347,48,17222,125,23,25
djinnet,deaf,74,170,30621,118547,26432,4189,101899,16648
loucurnow,deaf,567,163,13844,100885,7208,6636,76268,24617
orenex007,deaf,7,39,5070,5135,4015,1055,3310,1825
Supachan,deaf,24,23,4613,11190,4053,560,6056,5134
360magicians,deaf,31,444,522,204657,175,347,200608,4049
danvitorlima,deaf,61,7,644854,418,510472,134382,297,121
praserx,deaf,21,168,9551,783262,7425,2126,648688,134574
NacAbarca,deaf,10,53,63724,1583117,63720,4,1545093,38024
huangsheng97,deaf,156,119,25950,122954,22861,3089,68674,54280
MatheusForstner,deaf,49,209,89996,40296,89855,141,39387,909
okakee,deaf,10,8,881,604,779,102,440,164
anriaz,deaf,813,642,25707,21659,21573,4134,19738,1921
Deaf-Wolf,deaf,31,9,5081,1410,3586,1495,1328,82
ephemer4l,deaf,93,88,63736,214855,51208,12528,123747,91108
LittleB0xes,deaf,13,92,2072,11683,1067,1005,8732,2951
suprelory,deaf,57,767,16893,270959,16677,216,135545,135414
yaptx,deaf,433,223,275845,39629,97637,178208,28460,11169
HenryCecen,deaf,13,5,4184,624,4175,9,624,0
praneethkvs,deaf,43,130,144717,37450,143140,1577,36260,1190
zmeiresearch,deaf,16,8,33160,279,33013,147,257,22
parsaCr766295,deaf,95,64,137703,15309,136333,1370,14901,408
laughingman7743,deaf,58,13,24051,8298,20333,3718,2012,6286
BlairsTales,dyscalculia,132,211,73935,3413,54893,19042,2290,1123
chieffy99,dyslexia,122,475,24789,2247320,17286,7503,2138214,109106
jackvloglive,adhd,166,65,990,13122,469,521,12727,395
rstandow,dyslexia,161,43,16671,4511,9127,7544,3138,1373
perviousch,adhd,43,44,64434,17201,61436,2998,15241,1960
fryou12,adhd,28,14,11023,1845151,7805,3218,1784198,60953
MED-007,adhd,11,104,246,58535,226,20,58198,337
Hunterganhs,adhd,55,13,36038,577,17479,18559,560,17
zuper1998,adhd,50,21,35675,7946,32096,3579,2490,5456
andschr93,adhd,25,59,3804,46297,3698,106,45057,1240
RonaldMLL,adhd,52,42,16447,38210,4441,12006,37769,441
kubahmmmm,adhd,69,17,6070,831,3196,2874,593,238
pyt00n00b,adhd,3259,1073,24301,77316,13970,10331,59310,18006
vabhravi,adhd,19,627,1230,32312,472,758,25504,6808
DandyHerdiyana,adhd,9,10,10918,203369,10917,1,203160,209
justkunalverma,adhd,16,643,1179,84037,1145,34,46143,37894
6604062630081,adhd,33,5,21647,4725,21178,469,4018,707
atlasveldine,adhd,86,1138,9068,134406,6459,2609,87082,47324
DylanIvanBrown,adhd,36,8,1463,1369,1391,72,1153,216
msuddin10,adhd,44,22,198,663,104,94,641,22
A777G,adhd,4523,4522,56037,25758,31586,24451,17959,7799
LuckyLuke607,disabled,78,80,4165,16779,3134,1031,16451,328
