username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
BreezyAutum,visually impaired,0,0,0,0,0,0,0,0
ianstewartbrooks,visually impaired,0,0,0,0,0,0,0,0
MicaelaZen,visually impaired,21,4,384,479,272,112,479,0
RebekahEloise,visually impaired,0,0,0,0,0,0,0,0
WinaGea,visually impaired,72,187,23657,34011,23657,0,30187,3824
josebohorquez1,visually impaired,87,185,2803729,40314,2406815,396914,32935,7379
anujj87,visually impaired,0,0,0,0,0,0,0,0
mavi-iitd,visually impaired,0,0,0,0,0,0,0,0
dsummlion,visually impaired,0,0,0,0,0,0,0,0
danilaercegovac,blind,0,79,0,19400,0,0,18777,623
soft4blind,visually impaired,0,0,0,0,0,0,0,0
KirithikRaj,visually impaired,2,0,65,0,65,0,0,0
arqamgrt,visually impaired,0,0,0,0,0,0,0,0
illandcharlie,visually impaired,0,0,0,0,0,0,0,0
upyesp,visually impaired,132,13,2560581,1778,958905,1601676,1768,10
ProjectNASVI,visually impaired,3,0,1541,0,1530,11,0,0
darrendizon,visually impaired,0,0,0,0,0,0,0,0
IsabellaShepker,visually impaired,1,0,15,0,15,0,0,0
thschwarz,visually impaired,0,0,0,0,0,0,0,0
RishikeshavJha,visually impaired,0,92,0,66296,0,0,64625,1671
winchian,visually impaired,11,0,601,0,587,14,0,0
ibrasonic,visually impaired,0,49,0,63511,0,0,61649,1862
A-hamza44,visually impaired,0,0,0,0,0,0,0,0
xsnn,visually impaired,0,0,0,0,0,0,0,0
DhakalDebindra,visually impaired,0,2,0,815,0,0,601,214
p2pbr,visually impaired,1,8,1,1208,1,0,1148,60
innohubblr,visually impaired,0,0,0,0,0,0,0,0
sekita,visually impaired,6,18,2288,3192,990,1298,2413,779
prethepan,visually impaired,0,61,0,5365,0,0,4002,1363
inspector3535,visually impaired,0,13,0,482,0,0,363,119
MsCountryEagle,visually impaired,0,0,0,0,0,0,0,0
thomasalan,visually impaired,0,0,0,0,0,0,0,0
Stanley-6,visually impaired,0,2,0,218,0,0,218,0
Galactic995,visually impaired,0,7,0,61,0,0,56,5
NagineniLakshmiBhargavi,visually impaired,0,0,0,0,0,0,0,0
emihle-tech,visually impaired,0,0,0,0,0,0,0,0
Anthony1441,visually impaired,306,1,46187,1,33365,12822,1,0
SAJDIH,visually impaired,0,0,0,0,0,0,0,0
ExtremeSimulations,visually impaired,0,0,0,0,0,0,0,0
magicksa,visually impaired,0,0,0,0,0,0,0,0
diwakarbhagatpro-ship-it,visually impaired,0,15,0,53888,0,0,46683,7205
AayushiSanghvi,visually impaired,0,5,0,11,0,0,8,3
mrstrinity,visually impaired,0,0,0,0,0,0,0,0
vijnanadeepamorg,visually impaired,0,0,0,0,0,0,0,0
prjSaavi2025,visually impaired,0,24,0,3966,0,0,3467,499
Joy58,visually impaired,0,0,0,0,0,0,0,0
NoLimitsToken,visually impaired,0,8,0,531,0,0,528,3
GenerateAlternate,visually impaired,0,0,0,0,0,0,0,0
williamjstanton,visually impaired,609,714,296540,182866,174172,122368,122568,60298
PrivacyProud,visually impaired,0,0,0,0,0,0,0,0
visionbudy,low vision,0,0,0,0,0,0,0,0
KevinLeRun,visually impaired,0,0,0,0,0,0,0,0
sooraj-gazeguard,visually impaired,0,0,0,0,0,0,0,0
ACCESSPhilia,visually impaired,0,0,0,0,0,0,0,0
Divya-Drishti,visually impaired,0,0,0,0,0,0,0,0
udotbraille,visually impaired,0,0,0,0,0,0,0,0
aaaaaadsdsdgfr5546756765765766567567,visually impaired,0,0,0,0,0,0,0,0
wca0,visually impaired,0,1,0,6857,0,0,6857,0
BlindTechnicalAcademy,visually impaired,0,2,0,196,0,0,196,0
iread4u,visually impaired,0,0,0,0,0,0,0,0
gitbyjah,visually impaired,0,0,0,0,0,0,0,0
DaniBo369,visually impaired,0,0,0,0,0,0,0,0
debi6286-lgtm,visually impaired,0,0,0,0,0,0,0,0
AiViewstartup,visually impaired,0,0,0,0,0,0,0,0
Aegito,visually impaired,0,3,0,361,0,0,361,0
shadyar,visually impaired,220,99,7613,214089,6051,1562,211565,2524
that1blindguy,visually impaired,0,0,0,0,0,0,0,0
whatawhat,blind,0,0,0,0,0,0,0,0
Ice-nebula,visually impaired,1279,2,150738,667,126657,24081,667,0
GauravTheCoder,visually impaired,0,0,0,0,0,0,0,0
starkrush123,visually impaired,197,84,9106,58074,6124,2982,44001,14073
KoInamura,blind,0,0,0,0,0,0,0,0
ihsanmaullana,visually impaired,1,8,37,619,37,0,336,283
JPDoesDev,visually impaired,0,9,0,15116,0,0,13087,2029
Druify82,visually impaired,0,13,0,1374,0,0,854,520
RitwikSachdeva,visually impaired,1,0,7,0,7,0,0,0
Leenie83,blind,0,0,0,0,0,0,0,0
Dodeka-eder,visually impaired,0,0,0,0,0,0,0,0
jldail13,visually impaired,0,0,0,0,0,0,0,0
ogovekwueme,visually impaired,5,0,1052,0,1039,13,0,0
florian-apavou,blind,0,0,0,0,0,0,0,0
braillecall,visually impaired,0,0,0,0,0,0,0,0
pawin35,visually impaired,0,0,0,0,0,0,0,0
jevo,blind,0,0,0,0,0,0,0,0
TactileUniverse,bvi,0,4,0,114,0,0,58,56
YSBoomOfficial,visually impaired,56,1,4447,12,3645,802,3,9
anastantz,visually impaired,16771,18,19850,545,19330,520,408,137
hkatic,visually impaired,506,209,14621,12544,8919,5702,7491,5053
amesur,visually impaired,0,17,0,83,0,0,42,41
vvvv1111vvvv,blind,203,17,49777,71353,45741,4036,71340,13
namelf1,blind,37,5,94832,7,94781,51,5,2
beginningaeziur-ship-it,blind,0,206,0,100115,0,0,94271,5844
kobe-mop,blind,0,0,0,0,0,0,0,0
lelin333311,blind,0,0,0,0,0,0,0,0
Blindusername001,blind,0,0,0,0,0,0,0,0
andrewbfr,blind,0,0,0,0,0,0,0,0
00-chka,blind,0,0,0,0,0,0,0,0
Yeeerniyaz,blind,6,0,38643,0,38430,213,0,0
leonaAtkins,blind,2,217,16,2565,8,8,1735,830
blindgeek,blind,0,0,0,0,0,0,0,0
blindkevin,blind,45824,0,5502,0,5394,108,0,0
BlindEka,blind,0,104,0,36472,0,0,34216,2256
yaswanth23-svg,blind,4,0,2755,0,2755,0,0,0
gxdmachine,legally blind,0,0,0,0,0,0,0,0
